nftId,Card Id,Name,Bitcoin Text,Sticker,Fortune,Power,Rarity
1,30,Gideon Ravensdale,Bitcoin: flame of freedom!,Coin,10B in Bitcoin,3,Rare
2,20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange,5B in Bitcoin,1,Common
3,78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket,1B in Bitcoin,5,Super Rare
4,88,Gideon Beckett,Bitcoin: master your fate!,Sushi,1B in Bitcoin,10,Common
5,3,Milo Farnsworth,Bitcoin: your own bank!,Palm,5B in Bitcoin,7,Uncommon
6,6,Leon Vanguard,Bitcoin: global magic!,Orange,5B in Bitcoin,5,Common
7,67,Bartholomew Thornfield,Bitcoin: magic tech!,Sushi,5B in Bitcoin,10,Uncommon
8,18,Cedric Langley,Bitcoin: invisible spell!,Sushi,1B in Bitcoin,1,Ultra Rare
9,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,1B in Bitcoin,1,Common
10,94,Mortimer Montrose,Bitcoin: global show!,Palm,10B in Bitcoin,5,Uncommon
11,48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange,2B in Bitcoin,4,Uncommon
12,89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc,1B in Bitcoin,10,Uncommon
13,73,Rupert Sterling,Bitcoin: creative explosion!,Palm,5B in Bitcoin,9,Common
14,69,Gideon Fairfax,Bitcoin: no illusions!,Orange,1B in Bitcoin,1,Common
15,24,Desmond Whitmore,Bitcoin: decentralized future!,Palm,1B in Bitcoin,9,Common
16,44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin,5B in Bitcoin,7,Common
17,41,Sylvester Fairfax,Bitcoin: spell of freedom!,Orange,5B in Bitcoin,5,Rare
18,51,Maximilian Ellsworth,Bitcoin: exit the matrix!,Coin,5B in Bitcoin,2,Common
19,70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer,10B in Bitcoin,1,Common
20,38,Thaddeus Whitmore,Bitcoin: no inflation!,Palm,5B in Bitcoin,5,Common
21,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,2B in Bitcoin,7,Common
22,70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer,5B in Bitcoin,10,Super Rare
