nftId,fileName,cardId,name,bitcoinText,sticker,fortune,power,rarity
1,0001.webp,91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer,1B in Bitcoin,4,Rare
2,0002.webp,5,Ivan Blackwell,Bitcoin beats inflation!,Hibisc,1B in Bitcoin,10,Common
3,0003.webp,63,Barnabas Ravensdale,Bitcoin: hero of your story!,Flying Saucer,50B in Bitcoin,1,Common
4,0004.webp,111,Rupert Fairfax,Bitcoin: exit the matrix!,Orange,10B in Bitcoin,8,Common
5,0005.webp,101,Barnabas Sterling,Bitcoin: invisible spell!,Palm,100B in Bitcoin,6,Common
6,0006.webp,50,Gideon Fairchild,Bitcoin: free from giants!,Rocket,1B in Bitcoin,3,Common
7,0007.webp,79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin,1B in Bitcoin,4,Common
8,0008.webp,8,Ethan Caldwell,Bitcoin is digital gold!,Rocket,5B in Bitcoin,8,Common
9,0009.webp,29,Alistair Blackwood,Bitcoin: freedom in every click!,Rocket,1B in Bitcoin,2,Rare
10,0010.webp,51,Maximilian Ellsworth,Bitcoin: exit the matrix!,Coin,5B in Bitcoin,7,Rare
11,0011.webp,72,Phineas Montclair,Bitcoin: fair magic!,Coin,1B in Bitcoin,8,Common
12,0012.webp,2,Bruno Driscoll,Bitcoin: magic money!,Coin,5B in Bitcoin,2,Rare
13,0013.webp,1,Lucas Marston,Bitcoin is freedom in code!,Rocket,1B in Bitcoin,5,Common
14,0014.webp,7,Oscar Kingsley,Bitcoin crosses borders!,Flying Saucer,1B in Bitcoin,10,Uncommon
15,0015.webp,7,Oscar Kingsley,Bitcoin crosses borders!,Flying Saucer,1B in Bitcoin,7,Legendary
16,0016.webp,39,Cornelius Blackwood,Bitcoin: tech is fair!,Sushi,1B in Bitcoin,8,Rare
17,0017.webp,92,Rupert Fairchild,Bitcoin: wings of freedom!,Rocket,1B in Bitcoin,8,Uncommon
18,0018.webp,81,Horatio Thornfield,Bitcoin: exit the matrix!,Sushi,50B in Bitcoin,8,Rare
19,0019.webp,27,Reginald Pembroke,Bitcoin: bridges to freedom!,Orange,1B in Bitcoin,3,Common
20,0020.webp,109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi,1B in Bitcoin,3,Rare
21,0021.webp,52,Clarence Montrose,Bitcoin: silent revolution!,Palm,2B in Bitcoin,3,Super Rare
22,0022.webp,104,Reginald Kingsley,Bitcoin: escape wizards!,Orange,2B in Bitcoin,9,Rare
23,0023.webp,13,Nathan Ellington,Bitcoin: tech hero!,Orange,10B in Bitcoin,9,Common
24,0024.webp,98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer,1B in Bitcoin,6,Common
25,0025.webp,23,Tobias Sinclair,Bitcoin: magical money!,Coin,1B in Bitcoin,3,Common
26,0026.webp,8,Ethan Caldwell,Bitcoin is digital gold!,Rocket,5B in Bitcoin,8,Common
27,0027.webp,59,Leopold Sterling,Bitcoin: invisible magic!,Palm,10B in Bitcoin,4,Ultra Rare
28,0028.webp,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,1B in Bitcoin,8,Common
29,0029.webp,22,Roderick Montague,Bitcoin: escape slavery!,Rocket,5B in Bitcoin,2,Super Rare
30,0030.webp,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,5B in Bitcoin,8,Common
31,0031.webp,94,Mortimer Montrose,Bitcoin: global show!,Palm,5B in Bitcoin,5,Uncommon
32,0032.webp,32,Bartholomew Ellsworth,Bitcoin: no middlemen!,Sushi,5B in Bitcoin,5,Common
33,0033.webp,68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc,1B in Bitcoin,7,Ultra Rare
34,0034.webp,47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc,2B in Bitcoin,9,Super Rare
35,0035.webp,58,Cornelius Montclair,Bitcoin: master your fate!,Coin,2B in Bitcoin,7,Common
36,0036.webp,64,Wilfred Fairchild,Bitcoin: global magic trick!,Rocket,1B in Bitcoin,5,Uncommon
37,0037.webp,84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer,1B in Bitcoin,9,Super Rare
38,0038.webp,41,Sylvester Fairfax,Bitcoin: spell of freedom!,Orange,1B in Bitcoin,2,Common
39,0039.webp,40,Leopold Ravenscroft,Bitcoin: new generation!,Hibisc,1B in Bitcoin,2,Common
40,0040.webp,38,Thaddeus Whitmore,Bitcoin: no inflation!,Palm,5B in Bitcoin,3,Uncommon
41,0041.webp,84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer,1B in Bitcoin,6,Common
42,0042.webp,86,Bartholomew Montclair,Bitcoin: beat the system!,Coin,10B in Bitcoin,5,Uncommon
43,0043.webp,55,Archibald Fairfax,Bitcoin: magic in tech!,Orange,2B in Bitcoin,10,Super Rare
44,0044.webp,19,Gregory Westbrook,Bitcoin: fair and magical!,Hibisc,1B in Bitcoin,2,Rare
45,0045.webp,13,Nathan Ellington,Bitcoin: tech hero!,Orange,5B in Bitcoin,8,Uncommon
