Card Id,Name,Bitcoin Text,Sticker
1,Lucas Marston,Bitcoin is freedom in code!,Rocket
2,Bruno Driscoll,Bitcoin: magic money!,Coin
3,Milo Farnsworth,Bitcoin: your own bank!,Palm
4,Theo Underwood,Bitcoin breaks all chains!,Sushi
5,Ivan Blackwell,Bitcoin beats inflation!,Hibisc
6,Leon Vanguard,Bitcoin: global magic!,Orange
7,Oscar Kingsley,Bitcoin crosses borders!,Flying Saucer
8,Ethan Caldwell,Bitcoin is digital gold!,Rocket
9,Felix Harrington,Bitcoin: click to change!,Coin
10,Simon Redwood,Bitcoin: freedom now!,Palm
11,Victor Ashford,Bitcoin unlocks treasure!,Sushi
12,Wesley Carrington,Bitcoin never sleeps!,Hibisc
13,Nathan Ellington,Bitcoin: tech hero!,Orange
14,Oliver Montclair,Bitcoin: digital wizards!,Flying Saucer
15,Hugo Sterling,Bitcoin lights the way!,Rocket
16,Duncan Beckett,Bitcoin: golden bridge!,Coin
17,Marcus Fairfax,Bitcoin: magic answer!,Palm
18,Cedric Langley,Bitcoin: invisible spell!,Sushi
19,Gregory Westbrook,Bitcoin: fair and magical!,Hibisc
20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange
21,Quentin Ashcroft,Bitcoin: code is king!,Flying Saucer
22,Roderick Montague,Bitcoin: escape slavery!,Rocket
23,Tobias Sinclair,Bitcoin: magical money!,Coin
24,Desmond Whitmore,Bitcoin: decentralized future!,Palm
25,Archibald Winslow,Bitcoin: no old tricks!,Sushi
26,Percival Hargrove,Bitcoin: change like magic!,Hibisc
27,Reginald Pembroke,Bitcoin: bridges to freedom!,Orange
28,Barnaby Kingsley,Bitcoin: magic potion!,Flying Saucer
29,Alistair Blackwood,Bitcoin: freedom in every click!,Rocket
30,Gideon Ravensdale,Bitcoin: flame of freedom!,Coin
31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm
32,Bartholomew Ellsworth,Bitcoin: no middlemen!,Sushi
33,Phineas Montrose,Bitcoin: power to the people!,Hibisc
34,Clarence Thornfield,Bitcoin: fair digital world!,Orange
35,Rupert Ashford,Bitcoin: decentralized magic!,Flying Saucer
36,Archibald Pembroke,Bitcoin: control your money!,Rocket
37,Mortimer Kingsley,Bitcoin: just getting started!,Coin
